,date,total_distance,duration,avg_pace,start_time,end_time
44,2020-05-18,5255.864900318924,1623.0,5.15,2020-05-18 12:09:06+00:00,2020-05-18 12:37:41+00:00
45,2020-05-19,5331.326941332167,1476.0,4.616666666666666,2020-05-19 10:48:36+00:00,2020-05-19 11:15:05+00:00
46,2020-05-21,5946.188183021931,1697.0,4.75,2020-05-21 10:57:54+00:00,2020-05-21 11:27:05+00:00
47,2020-05-22,5508.174039381562,1535.0,4.65,2020-05-22 11:15:40+00:00,2020-05-22 11:42:12+00:00
48,2020-05-23,5615.339787452518,1583.0,4.7,2020-05-23 02:52:55+00:00,2020-05-23 03:20:38+00:00
49,2020-05-26,3688.4016578234045,1215.0,5.483333333333333,2020-05-26 11:15:37+00:00,2020-05-26 11:41:01+00:00
50,2020-05-27,4889.113332411482,1423.0,4.85,2020-05-27 11:21:23+00:00,2020-05-27 11:46:29+00:00
51,2020-06-01,4491.905366353799,1357.0,5.033333333333333,2020-06-01 12:08:30+00:00,2020-06-01 12:31:39+00:00
52,2020-06-02,4728.906000937862,1365.0,4.816666666666666,2020-06-02 11:58:33+00:00,2020-06-02 12:22:32+00:00
53,2020-06-03,4889.005028141334,1402.0,4.783333333333333,2020-06-03 10:36:27+00:00,2020-06-03 11:01:33+00:00
54,2020-06-05,5157.800254978873,1435.0,4.633333333333334,2020-06-05 13:13:43+00:00,2020-06-05 13:38:13+00:00
55,2020-06-07,5668.623973722878,1579.0,4.65,2020-06-07 11:28:28+00:00,2020-06-07 11:56:35+00:00
56,2020-06-09,5803.4621257998015,1653.0,4.75,2020-06-09 13:15:52+00:00,2020-06-09 13:43:59+00:00
57,2020-06-11,6029.501599683295,1798.0,4.966666666666667,2020-06-11 11:57:24+00:00,2020-06-11 12:28:45+00:00
58,2020-06-14,4893.696038397307,1497.0,5.1,2020-06-14 12:33:16+00:00,2020-06-14 12:59:39+00:00
59,2020-06-15,4593.43548027906,1283.0,4.65,2020-06-15 13:05:17+00:00,2020-06-15 13:27:18+00:00
60,2020-06-20,4838.622212993709,1436.0,4.95,2020-06-20 10:38:33+00:00,2020-06-20 11:03:28+00:00
61,2020-06-22,4202.773972900634,1167.0,4.633333333333334,2020-06-22 11:09:53+00:00,2020-06-22 11:29:58+00:00
62,2020-06-24,5678.867140541893,2074.0,6.083333333333333,2020-06-24 10:59:35+00:00,2020-06-24 11:35:37+00:00
63,2020-06-25,5098.3042900476585,1526.0,4.983333333333333,2020-06-25 10:38:43+00:00,2020-06-25 11:04:42+00:00
64,2020-06-27,4794.5865905946375,1404.0,4.883333333333334,2020-06-27 08:55:16+00:00,2020-06-27 09:19:34+00:00
65,2020-06-29,5404.267673544362,1554.0,4.8,2020-06-29 10:59:57+00:00,2020-06-29 11:26:59+00:00
66,2020-07-02,4860.54348872316,1404.0,4.816666666666666,2020-07-02 08:28:16+00:00,2020-07-02 08:52:14+00:00
67,2020-07-05,5485.615385157982,1699.0,5.166666666666667,2020-07-05 11:30:03+00:00,2020-07-05 11:58:55+00:00
68,2020-07-07,5785.018917561694,1668.0,4.8,2020-07-07 10:01:30+00:00,2020-07-07 10:31:28+00:00
69,2020-07-09,4640.848717796206,1407.0,5.05,2020-07-09 08:34:22+00:00,2020-07-09 08:59:22+00:00
70,2020-07-12,5717.436937943547,1714.0,5.0,2020-07-12 10:59:17+00:00,2020-07-12 11:28:54+00:00
71,2020-07-13,6121.820133955404,1893.0,5.15,2020-07-13 11:34:08+00:00,2020-07-13 12:06:24+00:00
72,2020-07-15,5830.153184298793,1704.0,4.866666666666666,2020-07-15 11:55:17+00:00,2020-07-15 12:25:56+00:00
73,2020-07-17,5109.148753418421,1562.0,5.1,2020-07-17 07:21:28+00:00,2020-07-17 07:48:11+00:00
74,2020-07-19,4894.856504490574,1417.0,4.816666666666666,2020-07-19 11:38:12+00:00,2020-07-19 12:03:32+00:00
75,2020-07-20,5751.9437459579,1788.0,5.183333333333334,2020-07-20 10:37:50+00:00,2020-07-20 11:10:58+00:00
76,2020-07-21,5871.718295741753,1743.0,4.95,2020-07-21 10:21:27+00:00,2020-07-21 10:52:21+00:00
77,2020-07-22,5223.060343162628,2070.0,6.6,2020-07-22 10:42:44+00:00,2020-07-22 11:20:09+00:00
78,2020-07-25,5964.958030096107,1845.0,5.15,2020-07-25 09:04:11+00:00,2020-07-25 09:36:28+00:00
79,2020-07-26,5633.5947673061055,1673.0,4.95,2020-07-26 09:32:02+00:00,2020-07-26 10:00:49+00:00
80,2020-07-28,5610.583268090568,1689.0,5.016666666666667,2020-07-28 07:18:26+00:00,2020-07-28 07:47:32+00:00
81,2020-07-29,5931.88384648463,1740.0,4.883333333333334,2020-07-29 11:17:03+00:00,2020-07-29 11:47:00+00:00
82,2020-07-30,5419.689055974222,1629.0,5.016666666666667,2020-07-30 10:18:08+00:00,2020-07-30 10:45:49+00:00
83,2020-07-31,5351.406210876512,1839.0,5.733333333333333,2020-07-31 10:47:34+00:00,2020-07-31 11:20:24+00:00
84,2020-08-02,5706.753740312908,1733.0,5.066666666666666,2020-08-02 09:21:01+00:00,2020-08-02 09:53:58+00:00
85,2020-08-04,5375.270831602237,1629.0,5.05,2020-08-04 11:27:04+00:00,2020-08-04 11:55:29+00:00
86,2020-08-06,5278.2916065926665,1594.0,5.033333333333333,2020-08-06 10:23:02+00:00,2020-08-06 10:51:07+00:00
87,2020-08-09,4812.839927884599,1435.0,4.966666666666667,2020-08-09 10:10:42+00:00,2020-08-09 10:35:10+00:00
88,2020-08-11,5342.52096754908,1613.0,5.033333333333333,2020-08-11 10:50:32+00:00,2020-08-11 11:19:01+00:00
89,2020-08-13,5264.835439233357,1561.0,4.933333333333334,2020-08-13 11:31:54+00:00,2020-08-13 11:58:59+00:00
90,2020-08-16,5246.475651323426,1694.0,5.383333333333334,2020-08-16 09:55:07+00:00,2020-08-16 10:25:34+00:00
91,2020-08-17,5662.886957107382,2057.0,6.05,2020-08-17 11:04:36+00:00,2020-08-17 11:40:24+00:00
92,2020-08-18,5317.081446064935,1624.0,5.083333333333333,2020-08-18 11:12:03+00:00,2020-08-18 11:45:34+00:00
93,2020-08-19,5221.158657771882,1617.0,5.166666666666667,2020-08-19 09:59:31+00:00,2020-08-19 10:28:08+00:00
94,2020-08-23,4688.335032448521,1462.0,5.2,2020-08-23 11:14:42+00:00,2020-08-23 11:40:50+00:00
95,2020-08-25,5065.27042544952,1653.0,5.433333333333334,2020-08-25 11:23:45+00:00,2020-08-25 11:53:27+00:00
96,2020-08-26,3642.262203772619,1126.0,5.15,2020-08-26 08:42:58+00:00,2020-08-26 09:04:03+00:00
97,2020-08-31,6295.2155492344855,1798.0,4.766666666666667,2020-08-31 08:28:34+00:00,2020-08-31 09:00:53+00:00
98,2020-09-01,4700.419438570108,1292.0,4.583333333333333,2020-09-01 10:52:09+00:00,2020-09-01 11:17:08+00:00
99,2020-09-02,4049.003664067739,1101.0,4.533333333333333,2020-09-02 09:18:45+00:00,2020-09-02 09:41:04+00:00
100,2020-09-04,5913.649923948653,1703.0,4.8,2020-09-04 08:41:11+00:00,2020-09-04 09:13:59+00:00
101,2020-09-06,5924.411036413762,1685.0,4.733333333333333,2020-09-06 09:41:32+00:00,2020-09-06 10:12:40+00:00
