,0,1
0,1.0,0:07:13
1,2.0,0:08:18
2,3.0,0:07:42
3,4.0,0:08:00
4,5.0,0:08:49
5,6.0,0:09:40
6,7.0,0:09:51
7,8.0,0:09:41
8,9.0,0:08:20
9,9.3,0:05:49
