,km,duration
0,1.0,0:06:48
1,2.0,0:09:30
2,3.0,0:07:29
3,4.0,0:10:10
4,5.0,0:09:43
5,6.0,0:11:46
6,7.0,0:09:33
7,7.7,0:11:23
