,km,duration
0,1.0,0:06:02
1,2.0,0:06:38
2,3.0,0:06:50
3,4.0,0:06:37
4,5.0,0:06:44
5,6.0,0:06:33
6,7.0,0:07:54
7,8.0,0:10:28
8,9.0,0:05:57
9,10.0,0:06:39
10,11.0,0:06:01
11,12.0,0:06:23
12,12.6,0:05:07
