,km,duration
0,1.0,0:06:40
1,2.0,0:06:39
2,3.0,0:06:58
3,4.0,0:06:14
4,5.0,0:06:21
5,6.0,0:06:59
6,7.0,0:06:35
7,8.0,0:06:44
8,9.0,0:07:28
9,10.0,0:07:11
10,11.0,0:07:13
11,11.8,0:06:39
