,km,duration
0,1.0,0:05:44
1,2.0,0:05:36
2,3.0,0:06:19
3,4.0,0:06:20
4,5.0,0:06:04
5,6.0,0:06:15
6,7.0,0:06:08
7,7.9,0:06:08
